"id_salarié","Ancienneté_an","Distance domicile/Travail","Service","Work_accident","Niveau de satisfaction","Contrat","Durée hebdo","Salaire base mensuel","%variable_moyen","Augmentation","Promotion","Sexe","Enfants"
"16990924-2829",22.5,69,"Consultant","Non",60,"CDI",35,9873.5,13,0,0,"F",3
"16990414-3527",10.8,32,"Consultant","Non",39,"CDI",35,4296.7167,39,0,1,"H",0
"16981206-3817",13,68,"RH","Oui",62,"CDI",35,3705.2167,29,1,1,"F",1
"16970415-1050",21.7,59,"Consultant","Non",98,"CDI",35,1697.15,17,1,0,"H",3
"16960906-7989",3.3,15,"R&D","Oui",81,"CDD",35,2848.3,15,1,0,"H",0
"16960628-0338",10.5,6,"Commercial","Non",47,"CDI",35,5464.55,34,0,0,"H",0
"16960619-9017",17.8,56,"Marketing","Oui",34,"CDI",35,9999.3833,27,0,1,"H",0
"16951117-9468",8.2,43,"RH","Oui",48,"CDI",24,3116.88,37,0,1,"F",3
"16950828-2259",7.5,60,"Marketing","Non",25,"CDI",24,5462.08,39,0,1,"H",2
"16950514-2464",18.9,69,"Compta Finances","Oui",89,"CDI",35,2769.4333,33,0,0,"H",2
"16940521-7028",5.9,70,"RH","Oui",7,"CDI",35,5522.1833,9,1,1,"F",2
"16940414-0312",20.2,53,"Consultant","Non",24,"CDI",35,7308.8167,12,0,1,"F",3
"16931211-0175",22.4,64,"Commercial","Non",15,"CDI",24,5895.76,23,1,1,"F",3
"16931009-2151",20,8,"R&D","Non",31,"CDI",35,7081.3167,26,0,1,"H",0
"16920917-6040",13.1,27,"Commercial","Oui",56,"CDI",35,6195.5833,23,0,1,"H",1
"16920713-6616",23.3,9,"Marketing","Non",81,"CDI",35,5517.6333,23,1,1,"H",1
"16920528-2461",15.2,31,"R&D","Non",35,"CDI",35,8458.45,1,0,0,"H",2
"16920219-1855",3.2,15,"Consultant","Oui",60,"CDI",35,2132.4333,18,1,1,"F",3
"16920105-1209",25,58,"Consultant","Non",19,"CDI",35,3097.0333,13,0,0,"F",1
"16910902-6667",16.3,28,"Compta Finances","Oui",32,"CDI",35,8218.8167,14,0,1,"F",2
"16910826-9763",8.4,17,"Consultant","Oui",51,"CDI",35,5388.7167,30,1,0,"F",1
"16910810-9712",12.2,28,"Consultant","Oui",45,"CDI",35,1873.0833,27,0,0,"H",1
"16910501-3081",15.8,46,"Commercial","Oui",60,"CDI",35,4152.6333,7,1,1,"F",0
